subject,relation,object,source
"A001","IS_A","Laptop","semi_structured/assets.csv"
"A001","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A002","IS_A","Firewall","semi_structured/assets.csv"
"A002","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A003","IS_A","Router","semi_structured/assets.csv"
"A003","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A004","IS_A","Server","semi_structured/assets.csv"
"A004","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A005","IS_A","Laptop","semi_structured/assets.csv"
"A005","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A006","IS_A","Firewall","semi_structured/assets.csv"
"A006","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A007","IS_A","Router","semi_structured/assets.csv"
"A007","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A008","IS_A","Server","semi_structured/assets.csv"
"A008","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A009","IS_A","Laptop","semi_structured/assets.csv"
"A009","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A010","IS_A","Firewall","semi_structured/assets.csv"
"A010","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A011","IS_A","Router","semi_structured/assets.csv"
"A011","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A012","IS_A","Server","semi_structured/assets.csv"
"A012","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A013","IS_A","Laptop","semi_structured/assets.csv"
"A013","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A014","IS_A","Firewall","semi_structured/assets.csv"
"A014","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A015","IS_A","Router","semi_structured/assets.csv"
"A015","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A016","IS_A","Server","semi_structured/assets.csv"
"A016","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A017","IS_A","Laptop","semi_structured/assets.csv"
"A017","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A018","IS_A","Firewall","semi_structured/assets.csv"
"A018","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A019","IS_A","Router","semi_structured/assets.csv"
"A019","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A020","IS_A","Server","semi_structured/assets.csv"
"A020","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A021","IS_A","Laptop","semi_structured/assets.csv"
"A021","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A022","IS_A","Firewall","semi_structured/assets.csv"
"A022","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A023","IS_A","Router","semi_structured/assets.csv"
"A023","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A024","IS_A","Server","semi_structured/assets.csv"
"A024","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A025","IS_A","Laptop","semi_structured/assets.csv"
"A025","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A026","IS_A","Firewall","semi_structured/assets.csv"
"A026","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A027","IS_A","Router","semi_structured/assets.csv"
"A027","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A028","IS_A","Server","semi_structured/assets.csv"
"A028","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A029","IS_A","Laptop","semi_structured/assets.csv"
"A029","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A030","IS_A","Firewall","semi_structured/assets.csv"
"A030","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A031","IS_A","Router","semi_structured/assets.csv"
"A031","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A032","IS_A","Server","semi_structured/assets.csv"
"A032","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A033","IS_A","Laptop","semi_structured/assets.csv"
"A033","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A034","IS_A","Firewall","semi_structured/assets.csv"
"A034","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A035","IS_A","Router","semi_structured/assets.csv"
"A035","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A036","IS_A","Server","semi_structured/assets.csv"
"A036","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A037","IS_A","Laptop","semi_structured/assets.csv"
"A037","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A038","IS_A","Firewall","semi_structured/assets.csv"
"A038","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A039","IS_A","Router","semi_structured/assets.csv"
"A039","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A040","IS_A","Server","semi_structured/assets.csv"
"A040","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A041","IS_A","Laptop","semi_structured/assets.csv"
"A041","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A042","IS_A","Firewall","semi_structured/assets.csv"
"A042","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A043","IS_A","Router","semi_structured/assets.csv"
"A043","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A044","IS_A","Server","semi_structured/assets.csv"
"A044","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A045","IS_A","Laptop","semi_structured/assets.csv"
"A045","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A046","IS_A","Firewall","semi_structured/assets.csv"
"A046","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A047","IS_A","Router","semi_structured/assets.csv"
"A047","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"A048","IS_A","Server","semi_structured/assets.csv"
"A048","LOCATED_AT","Bengaluru DC","semi_structured/assets.csv"
"A049","IS_A","Laptop","semi_structured/assets.csv"
"A049","LOCATED_AT","Hyderabad DC","semi_structured/assets.csv"
"A050","IS_A","Firewall","semi_structured/assets.csv"
"A050","LOCATED_AT","Mumbai Office","semi_structured/assets.csv"
"Axis Bank","INTERESTED_IN","MedSense AI","semi_structured/crm_leads.csv"
"Axis Bank","MANAGED_BY","Rohit Kumar 2","semi_structured/crm_leads.csv"
"HDFC Bank","INTERESTED_IN","PayGuard AI","semi_structured/crm_leads.csv"
"HDFC Bank","MANAGED_BY","Rohit Kumar 3","semi_structured/crm_leads.csv"
"ICICI Bank","INTERESTED_IN","DataLens Analytics","semi_structured/crm_leads.csv"
"ICICI Bank","MANAGED_BY","Rohit Kumar 4","semi_structured/crm_leads.csv"
"SBI","INTERESTED_IN","HealthWave AI","semi_structured/crm_leads.csv"
"SBI","MANAGED_BY","Rohit Kumar 5","semi_structured/crm_leads.csv"
"Kotak Mahindra Bank","INTERESTED_IN","LoanPredict AI","semi_structured/crm_leads.csv"
"Kotak Mahindra Bank","MANAGED_BY","Rohit Kumar 6","semi_structured/crm_leads.csv"
"Yes Bank","INTERESTED_IN","InsightViz Analytics","semi_structured/crm_leads.csv"
"Yes Bank","MANAGED_BY","Rohit Kumar 7","semi_structured/crm_leads.csv"
"IndusInd Bank","INTERESTED_IN","SecureRisk Suite","semi_structured/crm_leads.csv"
"IndusInd Bank","MANAGED_BY","Rohit Kumar 8","semi_structured/crm_leads.csv"
"PNB","INTERESTED_IN","CareAssist AI","semi_structured/crm_leads.csv"
"PNB","MANAGED_BY","Rohit Kumar 9","semi_structured/crm_leads.csv"
