vendor_id,vendor_name,service,country
V001,Tata Communications,Network Security,India
V002,Infosys Data Services,Data Center Services,India
V003,Amazon Web Services,Cloud Hosting,USA
V004,Microsoft Azure,Cloud Hosting,USA
V005,Google Cloud India,Cloud Hosting,India
V006,NTT Data,Network Security,Japan
V007,IBM Cloud Services,Cloud Hosting,USA
V008,Oracle Data Centers,Data Center Services,USA
V009,Accenture Cyber Defense,Network Security,Ireland
V010,Wipro Infrastructure Services,Data Center Services,India
V011,HCL Cloud Solutions,Cloud Hosting,India
V012,Capgemini Technology Services,Network Security,France
V013,Dell Technologies,Data Center Services,USA
V014,HP Enterprise Services,Data Center Services,USA
V015,Cisco Secure Solutions,Network Security,USA
V016,Palo Alto Networks,Network Security,USA
V017,Fortinet Security Services,Network Security,USA
V018,Rackspace Technology,Cloud Hosting,USA
V019,DigitalOcean,Cloud Hosting,USA
V020,Alibaba Cloud,Cloud Hosting,China
V021,Tech Mahindra Networks,Network Security,India
V022,Atos Data Services,Data Center Services,France
V023,Fujitsu Cloud Services,Cloud Hosting,Japan
V024,Hitachi Systems Security,Network Security,Japan
V025,Red Hat OpenShift Services,Cloud Hosting,USA
V026,Zoho Cloud Infrastructure,Cloud Hosting,India
V027,SAP Cloud Platform,Cloud Hosting,Germany
V028,VMware Secure Cloud,Network Security,USA
V029,BT Global Services,Network Security,UK
V030,Orange Business Services,Data Center Services,France
V031,Equinix Data Centers,Data Center Services,USA
V032,OVHcloud,Cloud Hosting,France
V033,TCS Cyber Security,Network Security,India
V034,LTIMindtree Cloud Services,Cloud Hosting,India
V035,Cognizant Infrastructure Services,Data Center Services,USA
V036,DXC Technology,Network Security,USA
V037,Siemens IT Solutions,Data Center Services,Germany
V038,Ericsson Network Services,Network Security,Sweden
V039,Juniper Networks,Network Security,USA
V040,Netmagic Solutions,Data Center Services,India
V041,Cloudflare Security,Network Security,USA
V042,Akamai Technologies,Network Security,USA
V043,SoftBank Cloud Services,Cloud Hosting,Japan
V044,Telefónica Tech,Network Security,Spain
V045,Dimension Data,Data Center Services,South Africa
V046,Infosys Cloud Edge,Cloud Hosting,India
V047,Haricorp Tech,Cloud Hosting,India
V048,Hexaware Infrastructure Services,Data Center Services,India
V049,NEC Network Solutions,Network Security,Japan
V050,Bosch IT Services,Data Center Services,Germany
