product_id,company_name,product_name,category,launch_year,annual_revenue_usd
P001,Infosys,NexaRisk Guard,Risk Intelligence,2018,1750000
P002,TCS,HealthAssist AI,Healthcare AI,2019,1980000
P003,Wipro,FinSecure AI,FinTech AI,2020,2250000
P004,HCLTech,DataLens Core,AI Analytics,2018,2100000
P005,Accenture,ThreatWatch Pro,Risk Intelligence,2021,2400000
P006,Cognizant,CareBot AI,Healthcare AI,2020,1850000
P007,Capgemini,PayFlow AI,FinTech AI,2019,2550000
P008,IBM,Insight360 Analytics,AI Analytics,2021,2750000
P009,Oracle,FraudShield AI,Risk Intelligence,2019,2600000
P010,Microsoft,HealthIQ AI,Healthcare AI,2021,2050000
P011,Google,CreditSense AI,FinTech AI,2018,2300000
P012,SAP,AnalyticsPro Suite,AI Analytics,2020,2920000
P013,Amazon Web Services,RiskRadar Cloud,Risk Intelligence,2022,3200000
P014,Salesforce,MedVision Cloud,Healthcare AI,2022,2380000
P015,Adobe,WealthAI Studio,FinTech AI,2021,3050000
P016,Oracle,TrendAnalyzer AI,AI Analytics,2019,2200000
P017,Infosys,ComplianceX Suite,Risk Intelligence,2020,2100000
P018,TCS,PatientFlow AI,Healthcare AI,2018,1700000
P019,Wipro,LoanAssist AI,FinTech AI,2022,3350000
P020,HCLTech,MarketPulse Pro,AI Analytics,2022,2900000
P021,Accenture,RiskScore Pro,Risk Intelligence,2018,1950000
P022,Cognizant,CarePath AI,Healthcare AI,2019,1820000
P023,Capgemini,TradeAI Platform,FinTech AI,2020,2500000
P024,IBM,InsightHub Analytics,AI Analytics,2021,2680000
P025,Amazon Web Services,ThreatDetect Cloud,Risk Intelligence,2021,2800000
P026,Salesforce,HealthNavigator AI,Healthcare AI,2020,2100000
P027,Adobe,InvestIQ AI,FinTech AI,2019,2400000
P028,SAP,DataExplorer Suite,AI Analytics,2018,2050000
P029,Infosys,RiskMatrix Suite,Risk Intelligence,2022,3450000
P030,TCS,ClinicalAI Pro,Healthcare AI,2021,2250000
P031,Wipro,PaySecure AI,FinTech AI,2022,3150000
P032,HCLTech,ReportGen Suite,AI Analytics,2019,2300000
P033,Accenture,RiskOps AI,Risk Intelligence,2019,2250000
P034,Cognizant,CareInsights AI,Healthcare AI,2022,2400000
P035,Capgemini,FinOpsAI Platform,FinTech AI,2020,2600000
P036,IBM,AnalyticsEdge Suite,AI Analytics,2020,2800000
P037,Oracle,RiskAI Pro,Risk Intelligence,2021,3100000
P038,Microsoft,HealthAnalytics Suite,Healthcare AI,2018,1950000
P039,Google,PaymentAI Studio,FinTech AI,2019,2700000
P040,SAP,DataVision Cloud,AI Analytics,2022,3050000
P041,Amazon Web Services,RiskCompliance Pro,Risk Intelligence,2018,2050000
P042,Salesforce,MedAnalytics Pro,Healthcare AI,2019,2150000
P043,Adobe,FinAnalytics Studio,FinTech AI,2021,2850000
P044,Infosys,InsightEngine Suite,AI Analytics,2018,1980000
P045,TCS,RiskPro Plus,Risk Intelligence,2022,3300000
P046,Wipro,HealthAI Plus,Healthcare AI,2020,2280000
P047,HCLTech,LendingAI Pro,FinTech AI,2022,3400000
P048,Accenture,AnalyticsCloud Suite,AI Analytics,2021,2950000
P049,Cognizant,RiskVision AI,Risk Intelligence,2019,2400000
P050,Capgemini,HealthPro AI,Healthcare AI,2021,2500000
